code,date,open,high,low,close
5780,23-Jul-96,1125.15,1127.08,1086.28,1092.14
5781,22-Jul-96,1119.39,1126.29,1115.13,1125.67
5782,19-Jul-96,1118.92,1126.71,1112.35,1119.27
5783,18-Jul-96,1109.17,1126.14,1109.17,1118.68
5784,16-Jul-96,1100.14,1105.94,1076.92,1083.47
5785,15-Jul-96,1089,1098.35,1081.22,1093.38
5786,12-Jul-96,1096.85,1099.2,1086.07,1089.35
5787,11-Jul-96,1089.45,1103.19,1089.45,1097.44
5788,10-Jul-96,1083.49,1093.27,1072.48,1086.62
5789,9-Jul-96,1104.01,1104.13,1082.41,1088.76
5790,8-Jul-96,1095.08,1106.36,1095.08,1103.47
5791,5-Jul-96,1089,1104,1088,1093
5792,4-Jul-96,1080,1099,1056,1088
5793,3-Jul-96,1100,1100,1076,1080
5794,2-Jul-96,1109,1111,1098,1100
5795,1-Jul-96,1121,1121,1105,1109
5796,28-Jun-96,1128,1136,1119,1122
5797,27-Jun-96,1119,1130,1107,1127
5798,26-Jun-96,1127.43,1134.43,1116.96,1119.85
5799,25-Jun-96,1147.28,1154.22,1123.79,1127.78
